name,scientific name,status,breeds in Iowa,range,habitat,preferred food sources,nesting information,months you can see them,image,image credit
Ovenbird,Seiurus aurocapilla,common,yes,"Breeds across eastern and northern North America; winters in Mexico, Central America, Caribbean, and northern South America",Mature deciduous and mixed forests with deep leaf litter,"insects, beetles, caterpillars, ants, spiders, snails, worms","Ground nest shaped like a small domed oven, usually hidden in leaf litter","April, May, June, July, August, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Ovenbird_%2890497%29.jpg/960px-Ovenbird_%2890497%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Worm-eating Warbler,Helmitheros vermivorum,rare,yes,"Breeds in eastern U.S.; winters in Mexico, Central America, and Caribbean","Steep wooded slopes, mature forest, dense understory","caterpillars, insects, spiders, beetles","Cup nest on or near the ground, often tucked into dry leaves on a slope","April, May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Worm-eating_Warbler_Fall_Out_2_Sabine_Woods_TX_2018-04-09_08-39-26_%2840614620035%29.jpg/960px-Worm-eating_Warbler_Fall_Out_2_Sabine_Woods_TX_2018-04-09_08-39-26_%2840614620035%29.jpg,"Bettina Arrigoni, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Louisiana Waterthrush,Parkesia motacilla,uncommon,yes,"Breeds in eastern U.S.; winters in Mexico, Central America, and Caribbean","Wooded streams, ravines, flowing water","aquatic insects, insects, beetles, spiders, small crustaceans","Nest placed in a bank, root mass, or cavity near running water","April, May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/f/ff/Louisiana-waterthrush-2_%28cropped%29.jpg,"William H. Majoros, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Northern Waterthrush,Parkesia noveboracensis,uncommon,no,Breeds across Canada and northern U.S.; winters from Mexico to northern South America,"Boggy woods, swamps, wet thickets, stream edges","aquatic insects, insects, spiders, snails, small crustaceans","Cup nest on or near the ground in moss, roots, or dense wet vegetation","April, May, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Northern_waterthrush_%2821618%29.jpg/960px-Northern_waterthrush_%2821618%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Golden-winged Warbler,Vermivora chrysoptera,rare,no,Breeds locally in Great Lakes and Appalachian regions; winters in Central and northern South America,"Young forest, shrubby fields, regenerating woodland edges","insects, caterpillars, spiders, beetles",Ground nest hidden in grasses or low vegetation,"May, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Vermivora_chrysoptera_400767711.jpg/960px-Vermivora_chrysoptera_400767711.jpg,"Matt Felperin, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Blue-winged Warbler,Vermivora cyanoptera,uncommon,yes,Breeds in eastern and central U.S.; winters in Central America and Caribbean,"Shrubby fields, old fields, forest edges, young growth","insects, caterpillars, spiders, beetles","Ground nest hidden in grass, leaves, or low shrubs","April, May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Blue-winged_Warbler_Fall_Out_2_Sabine_Woods_TX_2018-04-09_09-29-28_%2840614501195%29.jpg/960px-Blue-winged_Warbler_Fall_Out_2_Sabine_Woods_TX_2018-04-09_09-29-28_%2840614501195%29.jpg,"Bettina Arrigoni, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Black-and-white Warbler,Mniotilta varia,common,yes,"Breeds across eastern North America; winters in southeastern U.S., Mexico, Caribbean, and Central America","Deciduous and mixed forest, especially trunks and large branches","insects, beetles, caterpillars, spiders, ants","Cup nest on the ground, often tucked against a log, rock, or tree base","April, May, June, July, August, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Black-and-white_warbler_in_Prospect_Park_%2806193%292.jpg/960px-Black-and-white_warbler_in_Prospect_Park_%2806193%292.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Prothonotary Warbler,Protonotaria citrea,uncommon,yes,Breeds in southeastern and midwestern U.S.; winters in Central America and northern South America,"Wooded swamps, flooded forests, bottomlands","insects, aquatic insects, beetles, spiders, snails","Cavity nest in tree holes, stumps, or nest boxes near water","April, May, June, July, August, September",/images/birds/prothonotary-warbler.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Tennessee Warbler,Leiothlypis peregrina,common,no,Breeds in Canadian boreal forest; migrates through much of eastern North America; winters in Central and northern South America,Boreal forest in summer; mixed woodland and edges during migration,"insects, caterpillars, spiders, nectar, fruit",Ground nest hidden in moss or low vegetation,"April, May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Leiothlypis_peregrina_Malus_sp_JRVdH_01.jpg/960px-Leiothlypis_peregrina_Malus_sp_JRVdH_01.jpg,"Cephas, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Orange-crowned Warbler,Leiothlypis celata,uncommon,no,"Breeds in Canada, Alaska, and western mountains; winters in southern U.S. and Mexico","Shrubby woodland, brushy edges, riparian thickets","insects, caterpillars, spiders, nectar, berries",Cup nest on or near the ground in dense vegetation,"April, May, September, October, November",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Orange-crowned_Warbler_0125m.jpg/960px-Orange-crowned_Warbler_0125m.jpg,"Vickie J Anderson, http://www.wildlifeimagesupclose.com, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Nashville Warbler,Leiothlypis ruficapilla,uncommon,no,Breeds in northern and western North America; winters in Mexico and Central America,"Brushy openings, young forests, woodland edges","insects, caterpillars, spiders, beetles","Ground nest hidden in moss, grass, or low vegetation","April, May, September, October",https://upload.wikimedia.org/wikipedia/commons/9/9b/Nashville-warbler-104.jpg,"Bmajoros, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Connecticut Warbler,Oporornis agilis,rare,no,Breeds in boreal bogs and northern forest; winters in South America,"Boggy boreal forest, tamarack, spruce, dense understory","insects, caterpillars, spiders, beetles",Ground nest hidden in moss or dense low vegetation,"May, June, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/813_-_Connecticut_Warbler_%286-6-2018%29_south_county_line_road%2C_Bayfield_County%2C_WI_-01_%2828781705858%29.jpg/960px-813_-_Connecticut_Warbler_%286-6-2018%29_south_county_line_road%2C_Bayfield_County%2C_WI_-01_%2828781705858%29.jpg,"ALAN SCHMIERER from southeast AZ, USA, CC0, via Wikimedia Commons"
Mourning Warbler,Geothlypis philadelphia,rare,no,Breeds in northeastern and north-central North America; winters in Central and South America,"Young forest, dense thickets, regenerating clearings","insects, caterpillars, spiders, beetles",Ground or low cup nest hidden in thick vegetation,"May, June, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Geothlypis_philadelphia_289725142.jpg/960px-Geothlypis_philadelphia_289725142.jpg,"kirk gardner, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Kentucky Warbler,Geothlypis formosa,rare,yes,"Breeds in eastern U.S.; winters in Mexico, Central America, and northern South America",Rich deciduous forest with dense understory,"insects, caterpillars, beetles, spiders, ants",Ground nest hidden in leaves at base of shrubs or saplings,"April, May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Kentucky_Warbler_%28Geothlypis_formosa%29_in_the_United_States.jpg/960px-Kentucky_Warbler_%28Geothlypis_formosa%29_in_the_United_States.jpg,"Adam Jackson, CC0, via Wikimedia Commons"
Common Yellowthroat,Geothlypis trichas,common,yes,"Breeds across much of North America; winters in southern U.S., Mexico, Caribbean, and Central America","Marshes, wet fields, brushy edges, dense low vegetation","insects, caterpillars, beetles, spiders, flies","Cup nest low in grasses, reeds, or shrubs","April, May, June, July, August, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Common_yellowthroat_in_PP_%2814155%29.jpg/960px-Common_yellowthroat_in_PP_%2814155%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Hooded Warbler,Setophaga citrina,rare,yes,"Breeds in eastern U.S.; winters in Mexico, Caribbean, and Central America","Mature forest with dense understory, ravines, wooded wetlands","insects, caterpillars, spiders, beetles",Cup nest low in shrubs or saplings,"May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hooded_Warbler.jpg/960px-Hooded_Warbler.jpg,"Ninahale, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
American Redstart,Setophaga ruticilla,common,yes,"Breeds across much of North America; winters in Mexico, Caribbean, Central America, and northern South America","Deciduous forest, second growth, wooded edges, shade trees","insects, flies, caterpillars, beetles, spiders",Cup nest in fork of shrub or small tree,"May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/American_Redstart_-_52388698522.jpg/960px-American_Redstart_-_52388698522.jpg,"Wildreturn, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Cape May Warbler,Setophaga tigrina,uncommon,no,Breeds in Canadian boreal spruce-fir forest; winters in Caribbean,Spruce-fir forest in summer; flowering trees and edges in winter,"insects, caterpillars, spiders, nectar, fruit","Cup nest high in conifers, often spruce","May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Setophaga_tigrina_509870697.jpg/960px-Setophaga_tigrina_509870697.jpg,"Derek Spencer, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Cerulean Warbler,Setophaga cerulea,rare,yes,Breeds in eastern deciduous forests; winters in northern South America,"Mature deciduous forest, forested ridges, tall canopy","insects, caterpillars, beetles, spiders",Cup nest high on horizontal tree branches,"May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/7/7e/Cerulean_Warbler_%28male%29_%2813887478519%29.jpg,"U.S. Fish and Wildlife Service Headquarters, Public domain, via Wikimedia Commons"
Northern Parula,Setophaga americana,uncommon,no,"Breeds in eastern North America; winters in Florida, Caribbean, Mexico, and Central America","Mature forest with epiphytes, moss, lichens, or Spanish moss","insects, caterpillars, spiders, beetles","Nest in hanging moss, lichens, or epiphyte clumps","April, May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Northern_Parula_by_Dan_Pancamo.jpg/960px-Northern_Parula_by_Dan_Pancamo.jpg,"Dan Pancamo, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Magnolia Warbler,Setophaga magnolia,common,no,"Breeds in Canadian boreal and northern forests; winters in Mexico, Central America, and Caribbean","Young coniferous and mixed forest, especially spruce-fir","insects, caterpillars, beetles, spiders",Cup nest low in dense conifers,"May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Magnolia_warbler_in_PP_%2863734%29.jpg/960px-Magnolia_warbler_in_PP_%2863734%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Bay-breasted Warbler,Setophaga castanea,uncommon,no,Breeds in Canadian boreal forest; winters in Central and northern South America,"Spruce-fir forest, especially during spruce budworm outbreaks","caterpillars, insects, beetles, spiders, berries","Cup nest in conifers, often spruce or fir","May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dendroica-castanea-001.jpg/960px-Dendroica-castanea-001.jpg,"Mdf, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons"
